# source: https://www.bb.org.bd/en/index.php/links/links/9  (Bangladesh Bank — Scheduled Banks)
# checked: 2026-09-04
# The regulator's own list, authoritative for each bank's CURRENT legal name.
# Most "Limited" became "PLC" under the Companies Act change; some did not
# (Bangladesh Commerce, Bank Al-Falah, Ceylon, Habib, ICB Islamic), and several
# banks are listed under a short legal name that differs from the long one we
# scraped (BASIC, IFIC, NRBC, SBAC, City Bank).
#
# EXCEPTION — MIDLAND_BANK_PLC: this list still says "Midland Bank Limited"
# while the bank's OWN site says "Midland Bank PLC". The owner's standing rule
# is the bank's own website, so PLC stands and the disagreement is recorded
# here rather than silently resolved.
#
# slug|current legal name
AB_BANK_LIMITED|AB BANK PLC
AGRANI_BANK_LIMITED|AGRANI BANK PLC
AL-ARAFAH_ISLAMI_BANK_LIMITED|AL-ARAFAH ISLAMI BANK PLC
BANGLADESH_COMMERCE_BANK_LIMITED|BANGLADESH COMMERCE BANK LIMITED
BANGLADESH_DEVELOPMENT_BANK_LIMITED|BANGLADESH DEVELOPMENT BANK PLC
BANGLADESH_KRISHI_BANK|BANGLADESH KRISHI BANK
BANGLADESH_SMALL_INDUSTRIES_AND_COMMERCE_BANK_LIMITED|BASIC BANK PLC
BANK_ALFALAH_LIMITED|BANK AL-FALAH LIMITED
BANK_ASIA_LIMITED|BANK ASIA PLC
BENGAL_COMMERCIAL_BANK_PLC|BENGAL COMMERCIAL BANK PLC.
BRAC_BANK_LIMITED|BRAC BANK PLC
CITIBANK_N.A|CITIBANK N.A
CITIZENS_BANK_PLC|CITIZENS BANK PLC
COMMERCIAL_BANK_OF_CEYLON_LIMITED|COMMERCIAL BANK OF CEYLON LIMITED
COMMUNITY_BANK_BANGLADESH_PLC|COMMUNITY BANK BANGLADESH PLC
DHAKA_BANK_LIMITED|DHAKA BANK PLC
DUTCH-BANGLA_BANK_LIMITED|DUTCH-BANGLA BANK PLC
EASTERN_BANK_LIMITED|EASTERN BANK PLC
EXPORT_IMPORT_BANK_OF_BANGLADESH_LIMITED|EXPORT IMPORT BANK OF BANGLADESH PLC
FIRST_SECURITY_ISLAMI_BANK_LIMITED|FIRST SECURITY ISLAMI BANK PLC
HABIB_BANK_LIMITED|HABIB BANK LTD.
ICB_ISLAMIC_BANK_LIMITED|ICB ISLAMIC BANK LTD.
INTERNATIONAL_FINANCE_INVEST_AND_COMMERCE_BANK_LIMITED|IFIC BANK PLC
ISLAMI_BANK_BANGLADESH_LIMITED|ISLAMI BANK BANGLADESH PLC
JAMUNA_BANK_LIMITED|JAMUNA BANK PLC
JANATA_BANK_LIMITED|JANATA BANK PLC
MEGHNA_BANK_LIMITED|MEGHNA BANK PLC
MERCANTILE_BANK_LIMITED|MERCANTILE BANK PLC
MIDLAND_BANK_PLC|MIDLAND BANK PLC
MODHUMOTI_BANK_LIMITED|MODHUMOTI BANK PLC
MUTUAL_TRUST_BANK_LIMITED|MUTUAL TRUST BANK PLC
NATIONAL_BANK_LIMITED|NATIONAL BANK PLC
NATIONAL_BANK_OF_PAKISTAN|NATIONAL BANK OF PAKISTAN
NATIONAL_CREDIT_&_COMMERCE_BANK_LIMITED|NATIONAL CREDIT & COMMERCE BANK PLC
NRB_BANK_LIMITED|NRB BANK PLC
NRB_COMMERCIAL_BANK_LIMITED|NRBC BANK PLC
NRB_GLOBAL_BANK_LIMITED|GLOBAL ISLAMI BANK PLC
ONE_BANK_LIMITED|ONE BANK PLC
PRIME_BANK_LIMITED|PRIME BANK PLC
PUBALI_BANK_LIMITED|PUBALI BANK PLC
RAJSHAHI_KRISHI_UNNAYAN_BANK|RAJSHAHI KRISHI UNNAYAN BANK
RUPALI_BANK_LIMITED|RUPALI BANK PLC
SHAHJALAL_ISLAMI_BANK_LIMITED|SHAHJALAL ISLAMI BANK PLC
SHIMANTO_BANK_PLC|SHIMANTO BANK PLC
SOCIAL_ISLAMI_BANK_LIMITED|SOCIAL ISLAMI BANK PLC
SONALI_BANK_LIMITED|SONALI BANK PLC
SOUTHEAST_BANK_LIMITED|SOUTHEAST BANK PLC
SOUTH_BANGLA_AGRICULTURE_AND_COMMERCE_BANK_LIMITED|SBAC BANK PLC
STANDARD_BANK_LIMITED|STANDARD ISLAMI BANK PLC
STANDARD_CHARTERED_BANK|STANDARD CHARTERED BANK
STATE_BANK_OF_INDIA|STATE BANK OF INDIA
THE_CITY_BANK_LIMITED|CITY BANK PLC
THE_FARMERS_BANK_LIMITED|PADMA BANK PLC
THE_HONGKONG_AND_SHANGHAI_BANKING_CORPORATION_LIMITED|THE HONG KONG AND SHANGHAI BANKING CORPORATION LTD.
THE_PREMIER_BANK_LIMITED|THE PREMIER BANK PLC
TRUST_BANK_LIMITED|TRUST BANK PLC
UNION_BANK_LIMITED|UNION BANK PLC
UNITED_COMMERCIAL_BANK_LIMITED|UNITED COMMERCIAL BANK PLC
UTTARA_BANK_LIMITED|UTTARA BANK PLC
WOORI_BANK_BANGLADESH|WOORI BANK
